"INDIC_DE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"NATGROWRT";"NL12";"A";"2015";NA;"na"
"NATGROWRT";"NL12";"A";"2014";0,8;NA
"NATGROWRT";"NL12";"A";"2013";0,5;NA
"NATGROWRT";"NL12";"A";"2012";1;NA
"NATGROWRT";"NL12";"A";"2011";1,6;NA
"NATGROWRT";"NL12";"A";"2010";2,2;NA
"NATGROWRT";"NL12";"A";"2009";2,3;NA
"NATGROWRT";"NL12";"A";"2008";2,3;NA
"NATGROWRT";"NL12";"A";"2007";2,5;NA
"NATGROWRT";"NL12";"A";"2006";2;NA
"NATGROWRT";"NL12";"A";"2005";2,8;NA
"NATGROWRT";"NL12";"A";"2004";3;NA
"NATGROWRT";"NL12";"A";"2003";3,3;NA
"NATGROWRT";"NL12";"A";"2002";3,3;NA
"NATGROWRT";"NL12";"A";"2001";3,2;NA
"NATGROWRT";"NL12";"A";"2000";3,5;NA
"NATGROWRT";"NL13";"A";"2015";NA;"na"
"NATGROWRT";"NL13";"A";"2014";-0,6;NA
"NATGROWRT";"NL13";"A";"2013";-1,3;NA
"NATGROWRT";"NL13";"A";"2012";-0,9;NA
"NATGROWRT";"NL13";"A";"2011";-0,1;NA
"NATGROWRT";"NL13";"A";"2010";0,3;NA
"NATGROWRT";"NL13";"A";"2009";1;NA
"NATGROWRT";"NL13";"A";"2008";0,8;NA
"NATGROWRT";"NL13";"A";"2007";1;NA
"NATGROWRT";"NL13";"A";"2006";1,4;NA
"NATGROWRT";"NL13";"A";"2005";1,5;NA
"NATGROWRT";"NL13";"A";"2004";1,9;NA
"NATGROWRT";"NL13";"A";"2003";2,1;NA
"NATGROWRT";"NL13";"A";"2002";2,5;NA
"NATGROWRT";"NL13";"A";"2001";2,9;NA
"NATGROWRT";"NL13";"A";"2000";2,8;NA
"NATGROWRT";"NL34";"A";"2015";NA;"na"
"NATGROWRT";"NL34";"A";"2014";0,3;NA
"NATGROWRT";"NL34";"A";"2013";-0,8;NA
"NATGROWRT";"NL34";"A";"2012";-0,3;NA
"NATGROWRT";"NL34";"A";"2011";0,2;NA
"NATGROWRT";"NL34";"A";"2010";-0,1;NA
"NATGROWRT";"NL34";"A";"2009";0,6;NA
"NATGROWRT";"NL34";"A";"2008";0,7;NA
"NATGROWRT";"NL34";"A";"2007";0,5;NA
"NATGROWRT";"NL34";"A";"2006";0,6;NA
"NATGROWRT";"NL34";"A";"2005";0,6;NA
"NATGROWRT";"NL34";"A";"2004";1,1;NA
"NATGROWRT";"NL34";"A";"2003";1,4;NA
"NATGROWRT";"NL34";"A";"2002";0,8;NA
"NATGROWRT";"NL34";"A";"2001";1,3;NA
"NATGROWRT";"NL34";"A";"2000";2,1;NA
"NATGROWRT";"UKC1";"A";"2015";NA;"na"
"NATGROWRT";"UKC1";"A";"2014";1,1;NA
"NATGROWRT";"UKC1";"A";"2013";1,4;NA
"NATGROWRT";"UKC1";"A";"2012";2,2;NA
"NATGROWRT";"UKC1";"A";"2011";2,5;NA
"NATGROWRT";"UKC1";"A";"2010";2,7;NA
"NATGROWRT";"UKC1";"A";"2009";1,8;NA
"NATGROWRT";"UKC1";"A";"2008";1,7;NA
"NATGROWRT";"UKC1";"A";"2007";1,7;NA
"NATGROWRT";"UKC1";"A";"2006";1,4;NA
"NATGROWRT";"UKC1";"A";"2005";0,8;NA
"NATGROWRT";"UKC1";"A";"2004";0,7;NA
"NATGROWRT";"UKC1";"A";"2003";-0,1;NA
"NATGROWRT";"UKC1";"A";"2002";-0,3;NA
"NATGROWRT";"UKC1";"A";"2001";-0,5;NA
"NATGROWRT";"UKC1";"A";"2000";-0,1;NA
"NATGROWRT";"UKE2";"A";"2015";NA;"na"
"NATGROWRT";"UKE2";"A";"2014";-0,3;NA
"NATGROWRT";"UKE2";"A";"2013";-0,6;NA
"NATGROWRT";"UKE2";"A";"2012";0;NA
"NATGROWRT";"UKE2";"A";"2011";0,3;NA
"NATGROWRT";"UKE2";"A";"2010";0,2;NA
"NATGROWRT";"UKE2";"A";"2009";0,6;NA
"NATGROWRT";"UKE2";"A";"2008";0,6;NA
"NATGROWRT";"UKE2";"A";"2007";-0,1;NA
"NATGROWRT";"UKE2";"A";"2006";-0,1;NA
"NATGROWRT";"UKE2";"A";"2005";0;NA
"NATGROWRT";"UKE2";"A";"2004";-0,3;NA
"NATGROWRT";"UKE2";"A";"2003";-0,9;NA
"NATGROWRT";"UKE2";"A";"2002";-1,1;NA
"NATGROWRT";"UKE2";"A";"2001";-0,9;NA
"NATGROWRT";"UKE2";"A";"2000";-1;NA
